id,user_name,rating,date,text,review_length,likes,photo_count,user_info,has_owner_reply,reply_text,scraped_date
23,,5,قبل 3 سنوات,"المطعم عبارة عن تحفة فنية! الديكورات مذهلة يمزج بين العراقة وبساطة الأجداد بلمسة عصرية واسلوب فخم ومدروس بعناية! الأواني الجدران الأثاث دورات المياه المبنى من الداخل والخارج عبارة عن لوحة فنية، الأطباق اصلية ومثل اكل البيت لا يوجد شيء مميز جداً بالطعام، الاسعار مرتفعة ولكن متوافقة مع فخامة المكان، الخدمة ممتازة والطاقم مدرب بعناية، موسيقى الخلفية جميلة جداً ومختارة بعناية، يوجد مواقف في المجمع، المطعم موجود ضمن مجمع مطاعم تراثية

السلبيات:
الأكل عادي جداً ولكن لا يوجد سلبيات.",480,0,4,,لا,,2026-02-08
24,,4,قبل سنتين,"المطعم جميل والأكل كذلك لذيذ ولكن أقتراح بأن يتم زيادة بهارات اللحم شوي حتى يتضح طعمها بشكل أجمل
وكذلك إضافة أصناف أخرى من الرز.

تعامل العاملين جميل ومتعاونين
عندما ذهبت اليه كان المطعم هدوء ولا يوجود ازعاج.

الأسعار مرتفعة واتمنى منهم إعادة النظر فيها.",254,0,4,,لا,,2026-02-08
25,,5,قبل 5 سنوات,"تجربة جميلة .. الاجواء اكثر من رائعة .. خدمة وحوافة وطعم واهتمام بأدق التفاصيل .
اطباق التقديم مبتكرة ومستوحاة من التراث .. الاطباق الشعبية متقنة ومقدمة بطريقة عصرية .
سلطة القرع لذيذة و كذلك المقلقل والكبيبة
المكان ديكورة واضائتة متقنة عبارة عن دورين وفيه جلسات خارجية .
وختموها معنا بكرم ضيافة جميل من عندهم مع طلب الشاهي .",325,0,4,,لا,,2026-02-08
26,سارة,5,قبل 3 سنوات,"تجربتي في سهيل الرياض كانت ممتازه جداً فوق التوقعات بداية من جمال المكان ديكوره مختلف عن كل الأماكن الي زرتها للحظه حسيت نفسي في العُلا ووسط صحراء و أجواء جميله وأيضاً شدني جمال الأواني 😍♥️
كانت قطع فنية مناسبة جداً لديكور المكان وانتشار ورد اللافندر ع الطاولات واهتمامهم بأدق التفاصيل .
بالنسبة لطلباتي كانت قهوة سعودية وتشيز كيك ويجي معها لقيمات ضيافه من عندهم لذيذه جداً
الطلب كان جداً لذيذ
بالنسبة للأسعار مرتفعه بس مكان مختلف ويستحق الزيارة وقضاء وقت جميل فيه",464,0,4,قبل 3 سنوات,لا,,2026-02-08
27,J,5,قبل 4 سنوات,"عالم من الواقع والخيال .. نجم في سماء المطاعم التي تحاكي التراث والثقافه السعودية .
فريق الطبخ( على قدر من الكفاءة )يحاكون الطعم .. السعودي بحذافيره .
فيه طبق حساوي ماعجبني واتوقع يرجع للذوق..
وحاجه وحدة احس مب مرة انو الكراسي غير مريحه تحتاج مساند او شي يريح او شي نتكي عليه ..

فريق الضيافه .. ممتازين جدا ومضيافين ..",319,0,4,قبل 4 سنوات,لا,,2026-02-08
28,خالد العجمي,5,قبل سنة,المكان جداً جميل والأكل جداً لذيذ والتعامل مع الموظفين جداً راقي اشكر بالأخص الأخ / نايف القحطاني والأخ / فهد على تعاملهم الراقي والأخلاق الطيبة مو آخر زيارة إن شاء الله .,171,0,4,قبل سنة,لا,,2026-02-08
29,jomana Alqwaiz,5,قبل سنتين,"مطعم يقدم الأطباق السعودية بطريقة مبتكره وبطعم لذيذذذ 👌🏼

توصياتي

مفلق
كبيبة
سليق
سلطة القرع
سلطة بطيخ
تشيز كيك تمر

الخدمه ممتازه وشكر خاص للموظفة مشاعل قمه في الرقي بالتعامل❤️",178,0,4,قبل سنتين,لا,,2026-02-08
30,Sadeem A,3,قبل 5 سنوات,مطعم راقي وفاخر وانصح زوار الرياض فيه صراحه، لكن للامانه السعر بالنسبه للكميات يعتبر مبالغ فيه ومرتفع.. جربت شوربة الشوفان لذيذة صراحه جدا، وجربت كبيبة حايل خياليه وطعمها مضبوط، جربت رز باللحم ،، اللحم لذيذ وذااايب اما الرز صراحه مو نثري وملتبد والكمية جدا قليلة مقارنه بالسعر ، وجربت جريش الرياض مضبووووط ولذيييذه والطعومات موزونه👍🏻 للامانه افضل طبق هو الجريش.. يقدمون لكم قهوه وحلى ضيافه .. صراحه مطعم سعودي راقي ونفتخر فيهم,426,0,4,قبل 5 سنوات,لا,,2026-02-08
31,سعودي أندرويد,4,قبل 3 سنوات,"مطعم جميل جدا وكل شي اعجبني
يقدم الاكلات بطريقة متميزة
المقبلات عندهم ولا غلطة
والسليق رررررراااائع
عندهم حنيذ بس ماعجبني كثير
بقية الاطباق + السلطات + الحلويات روعه🤍
طاقم الخدمة ممتاز والمكان مرتب بشكل يفتح النفس",213,0,4,قبل 3 سنوات,لا,,2026-02-08
32,Sweetness heart,4,قبل 5 سنوات,"المطعم جمييل جددا ..
متنوع الامااكن والجلسات خارجيه وداخليه ..
الديكور جميل جدااا ..
الخدمه ممتازه ١٠/١٠
التعاون رائع جداااا ..
الاكل  ..
الكبيبه رووووعه ١٠/١٠
السمبوسه روعه ١٠/١٠
سلطه القرع مو سئه ولا لذيذه عاديه جداا  مافيها تميز ..
سلطه الجح حلوه بس مافيها تميز ابداا ..
الجريش 😍ناطع ..
المحاشي قالو مخلصه فللاسف ماذقناها ..
المطبق اقل من عادي توقعت بلقى نكهه مميزه او شي لذيذ ..
عمومااااا المكاان جميل ارجع له ثانيه اكله لذيذ اتمنى الارتقاء شوي بنكهات السلطات .. اتمنى زياده المنيو قليل جداا خاصه لغير اكلي اللحوم ..
المكان فيه موسيقى  ..
المكان مافيه بارتشن ..
المكان لازم حجز ..",584,0,4,قبل 5 سنوات,لا,,2026-02-08
33,مشاعل فهد,5,قبل 5 سنوات,"🛎المكان: رائع ورايق ومبتكر والإضاءة جميله الجو العام خيال.
🛎الخدمة: سريعة والطاقم كله مهذب.
🛎الأكل: كان لذيذ تحس صدق مسوا بأيدي سعودية صح👍🏻 وكان طلبنا؛
-جريش الرياض: لذيذ كأن جدتي اللي مسويته👍🏻
-مانتو المدينة : لذييذ وفيه لذعه حارة رائعة.
-سمبوسة لحم: لذاااذه كانها حقت رمضان.
-سلطة جح🍉🥗 حلوه.
-كباب ميرو طعمه عادي والكباب ناشف شوي.
-كبيبة حايل: لذيذة
-حنيني تشيز 🍰 مب مرة.
-خربز سهيل: حلو
-القهوة السعودية غسااال مب زينه ماظبطوها.
🛎الأسعار💳 مرتفعه بس يستاهل.
( يتطلب الحجز مسبقًا )
يسمح بدخول الأطفال🚼",502,0,4,قبل 5 سنوات,لا,,2026-02-08
34,Ahd M,4,قبل سنتين,"اول زياره
سلطة البطيخ الصراحه سيىء البطيخ في طعم و الجبنه سيئه والصوص قليل كانت ناشفه ٣/١٠
الكبيبه رائعه صراحه ١٠/١٠
المنتو حلو كمان اللحمه طريه والصوص ممتاز ١٠/١٠
السليق من اجمل المطاعم اللي اكلت فيها سليق ١٠٠٠٠/١٠
في طبق اخر نسيت اسمه بس اتوقع كباب وكان مقبول
الديكور داخل كان رايق مره
الخدمه صراحه سيئه متوقع ب مطعم يعتبر fine dining
ان السيرفس تكون افضل خصوصي بتقديم الاكل والمساعده بتوزيع الاطباق
ارجع للمكان عشان السليق",425,0,3,قبل سنتين,لا,,2026-02-08
35,Asayel,5,قبل سنتين,من المطاعم الي تميزت بالاكل الشعبي السعودي وطريقة تقديمه وجودة الاكل ويستاهل اني اكرر زيارتي لهم ومكان رايق الاطباق كلها كانت لذيذه واتفق ان الكمية جدااً كانت قليله على اسعارهم لكن ان شاءلله انهم ينتبهون لهذي النقطه,215,0,4,قبل سنتين,لا,,2026-02-08
36,,5,قبل 3 سنوات,"تجربتي في سهيل الرياض كانت ممتازه جداً فوق التوقعات بداية من جمال المكان ديكوره مختلف عن كل الأماكن الي زرتها للحظه حسيت نفسي في العُلا ووسط صحراء و أجواء جميله وأيضاً شدني جمال الأواني 😍♥️
كانت قطع فنية مناسبة جداً لديكور المكان وانتشار ورد اللافندر ع الطاولات واهتمامهم بأدق التفاصيل .
بالنسبة لطلباتي كانت قهوة سعودية وتشيز كيك ويجي معها لقيمات ضيافه من عندهم لذيذه جداً
الطلب كان جداً لذيذ
بالنسبة للأسعار مرتفعه بس مكان مختلف ويستحق الزيارة وقضاء وقت جميل فيه",464,0,4,,لا,,2026-02-08
